,Table 17. Barangay and Age Group by Sex in the City of Pasay: 2020,,,
,,Sex,,
,,Total,Male,Female
,   Barangay,,,
,   Total,,,
,   Age Group,,,
,Total," 437,003 "," 217,169 "," 219,834 "
,0 - 4," 33,038 "," 17,045 "," 15,993 "
,5 - 9," 34,698 "," 17,840 "," 16,858 "
,10 - 14," 34,399 "," 17,605 "," 16,794 "
,15 - 19," 34,196 "," 17,049 "," 17,147 "
,20 - 24," 49,416 "," 24,733 "," 24,683 "
,25 - 29," 52,250 "," 26,241 "," 26,009 "
,30 - 34," 42,628 "," 21,715 "," 20,913 "
,35 - 39," 35,045 "," 18,010 "," 17,035 "
,40 - 44," 29,187 "," 14,699 "," 14,488 "
,45 - 49," 23,236 "," 11,463 "," 11,773 "
,50 - 54," 20,200 "," 9,772 "," 10,428 "
,55 - 59," 16,047 "," 7,576 "," 8,471 "
,60 - 64," 12,520 "," 5,570 "," 6,950 "
,65 - 69," 8,704 "," 3,789 "," 4,915 "
,70 - 74," 5,706 "," 2,268 "," 3,438 "
,75 - 79," 2,857 ", 953 ," 1,904 "
,80 and over," 2,876 ", 841 ," 2,035 "
,   Barangay 1,,,
,   Age Group,,,
,Total," 2,191 "," 1,076 "," 1,115 "
,0 - 4, 207 , 111 , 96 
,5 - 9, 186 , 93 , 93 
,10 - 14, 176 , 82 , 94 
,15 - 19, 118 , 59 , 59 
,20 - 24, 283 , 136 , 147 
,25 - 29, 315 , 154 , 161 
,30 - 34, 261 , 129 , 132 
,35 - 39, 164 , 85 , 79 
,40 - 44, 143 , 67 , 76 
,45 - 49, 104 , 56 , 48 
,50 - 54, 75 , 31 , 44 
,55 - 59, 45 , 24 , 21 
,60 - 64, 40 , 23 , 17 
,65 - 69, 22 , 9 , 13 
,70 - 74, 32 , 11 , 21 
,75 - 79, 10 , 3 , 7 
,80 and over, 10 , 3 , 7 
,   Barangay 2,,,
,   Age Group,,,
,Total," 1,327 ", 649 , 678 
,0 - 4, 84 , 43 , 41 
,5 - 9, 117 , 57 , 60 
,10 - 14, 113 , 51 , 62 
,15 - 19, 104 , 62 , 42 
,20 - 24, 147 , 77 , 70 
,25 - 29, 159 , 75 , 84 
,30 - 34, 107 , 53 , 54 
,35 - 39, 116 , 60 , 56 
,40 - 44, 79 , 40 , 39 
,45 - 49, 67 , 32 , 35 
,50 - 54, 79 , 36 , 43 
,55 - 59, 52 , 26 , 26 
,60 - 64, 37 , 14 , 23 
,65 - 69, 26 , 12 , 14 
,70 - 74, 18 , 7 , 11 
,75 - 79, 12 , 2 , 10 
,80 and over, 10 , 2 , 8 
,   Barangay 3,,,
,   Age Group,,,
,Total, 824 , 414 , 410 
,0 - 4, 71 , 41 , 30 
,5 - 9, 83 , 38 , 45 
,10 - 14, 84 , 47 , 37 
,15 - 19, 62 , 35 , 27 
,20 - 24, 76 , 34 , 42 
,25 - 29, 81 , 35 , 46 
,30 - 34, 84 , 50 , 34 
,35 - 39, 62 , 31 , 31 
,40 - 44, 45 , 24 , 21 
,45 - 49, 48 , 27 , 21 
,50 - 54, 35 , 15 , 20 
,55 - 59, 38 , 19 , 19 
,60 - 64, 27 , 11 , 16 
,65 - 69, 16 , 5 , 11 
,70 - 74, 4 , 1 , 3 
,75 - 79, 4 , 1 , 3 
,80 and over, 4 , -   , 4 
,   Barangay 4,,,
,   Age Group,,,
,Total," 2,086 "," 1,041 "," 1,045 "
,0 - 4, 134 , 65 , 69 
,5 - 9, 168 , 90 , 78 
,10 - 14, 204 , 111 , 93 
,15 - 19, 201 , 99 , 102 
,20 - 24, 248 , 118 , 130 
,25 - 29, 168 , 86 , 82 
,30 - 34, 172 , 91 , 81 
,35 - 39, 142 , 72 , 70 
,40 - 44, 152 , 74 , 78 
,45 - 49, 135 , 55 , 80 
,50 - 54, 115 , 70 , 45 
,55 - 59, 85 , 42 , 43 
,60 - 64, 71 , 31 , 40 
,65 - 69, 42 , 19 , 23 
