"Table 1a. Coefficient of Variation of the Average Annual Family Income, by  Per Capita Income Decile Class and by Region, Province and HUC: 2018, 2021 and 2023p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Province/HUC,2018,,,,,,,,,,,2021,,,,,,,,,,,2023p,,,,,,,,,,
,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHILIPPINES,0.7,0.5,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,1.4,0.9,1.5,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.6,2.3,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,1.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONAL CAPITAL REGION,1.4,1.2,1.2,1.2,1.2,1.3,1.6,1.6,1.5,1.6,3.9,1.8,3.9,3.6,3.6,3.6,3.5,3.6,3.4,3.5,3.6,6.9,1.6,1.1,1.1,1.1,1.2,1.1,1.2,1.2,1.4,1.8,4.4
NCR I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Manila,2.9,2.8,2.6,3.5,3.1,3.5,3.9,4.6,4.1,4.2,6.5,4.5,10.6,11.2,10.5,10.9,11.1,12.4,10.2,10.5,10.6,15.7,3.3,4.3,3.3,4.4,3.8,3.9,4.0,4.5,4.7,5.8,9.8
NCR II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Mandaluyong,14.6,3.5,3.9,4.1,4.7,4.1,3.9,4.5,6.4,5.6,40.4,9.7,14.4,14.0,13.1,11.8,11.5,12.5,11.2,14.0,26.1,37.5,4.7,2.9,3.5,3.5,4.5,4.1,4.5,5.4,7.3,5.4,8.2
City of San Juan,9.0,6.5,7.1,6.5,6.1,8.4,5.9,6.7,8.7,6.6,14.8,9.2,18.3,23.0,16.5,22.6,36.0,20.0,22.7,26.1,22.9,22.6,11.3,4.8,5.8,5.5,8.2,6.9,9.3,8.7,5.1,9.3,36.3
Quezon City,3.8,3.7,4.1,3.4,3.9,4.2,4.2,5.4,5.0,5.0,5.7,4.6,11.1,10.7,11.2,11.5,11.0,11.2,12.1,10.6,10.7,18.0,3.4,2.5,3.4,3.0,3.6,3.9,3.3,3.6,3.0,4.3,9.1
City of Marikina,4.2,4.2,3.2,3.6,3.9,5.7,4.1,4.4,4.4,4.4,8.2,6.0,11.7,11.1,9.9,11.5,9.9,9.3,9.7,12.1,10.7,22.2,3.4,3.0,3.8,4.4,5.5,3.4,4.2,6.0,4.3,4.3,5.9
City of Pasig,3.8,3.6,4.6,4.9,3.7,6.1,6.7,0.0,0.0,0.0,0.0,5.5,13.1,8.8,10.2,10.5,10.6,10.7,9.4,9.3,15.0,16.5,4.6,3.6,2.8,3.2,3.4,3.2,4.1,4.6,4.8,3.8,8.3
NCR III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Caloocan,2.9,2.8,2.8,4.0,4.2,2.7,3.4,3.6,4.2,4.4,6.1,6.5,12.5,12.4,11.1,10.8,11.0,8.8,10.8,10.1,10.3,11.8,2.0,2.5,2.6,3.0,3.2,3.1,3.5,3.7,4.0,3.8,5.5
City of Malabon,2.1,2.9,3.0,3.3,4.1,3.9,3.7,3.1,4.5,3.5,6.4,5.4,11.3,11.9,11.3,8.6,10.7,12.7,9.0,10.0,11.1,15.2,3.0,2.6,2.4,3.2,3.2,3.1,3.5,3.2,3.1,4.9,10.5
City of Navotas,2.6,3.1,3.5,2.6,2.7,3.3,4.1,4.1,3.9,3.3,8.9,4.4,10.4,9.7,10.1,9.3,9.2,9.3,9.6,9.5,9.9,12.6,1.8,2.6,2.4,2.6,3.0,2.8,2.8,3.0,2.9,3.0,4.3
City of Valenzuela,2.8,3.5,3.8,3.4,3.1,2.8,3.7,3.4,4.1,4.3,6.6,6.4,11.3,14.1,14.2,10.5,9.8,10.8,9.7,9.8,12.1,18.4,2.1,3.0,3.4,3.1,3.1,4.0,2.6,3.5,4.7,4.6,5.1
NCR IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Las Piñas,4.0,2.8,2.8,3.2,4.2,4.5,3.5,4.9,4.4,5.3,6.1,5.5,13.5,9.9,10.7,11.0,9.7,10.5,9.3,10.5,11.5,17.8,3.8,2.9,3.7,2.9,3.6,4.5,3.6,3.4,5.0,5.0,7.0
City of Muntinlupa,8.2,3.8,3.8,4.6,3.0,3.2,3.7,3.8,4.3,5.2,23.7,4.6,14.1,11.4,10.3,9.9,9.7,9.4,8.6,10.0,12.6,14.1,3.1,3.5,2.6,3.3,3.1,4.4,3.0,3.2,4.7,4.5,7.1
