"Table 2. Average Annual Family Expenditure, by Per Capita Income Decile Class and by Region, Province and HUC: 2018, 2021 and 2023p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Province/HUC,2018,,,,,,,,,,,2021,,,,,,,,,,,2023p,,,,,,,,,,,Percent Change (2018 to 2021),,,,,,,,,,,Percent Change (2021 to 2023),,,,,,,,,,
,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In percent),,,,,,,,,,,(In percent),,,,,,,,,,
,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHILIPPINES,238.75,109.35,130.30,147.06,168.84,188.32,215.88,246.71,284.38,351.36,544.99,228.80,103.89,129.87,146.89,166.64,184.15,207.93,235.88,271.78,329.12,511.75,258.05,127.86,154.68,172.49,195.60,216.19,239.51,266.23,303.90,358.34,545.66,-4.2,-5.0,-0.3,-0.1,-1.3,-2.2,-3.7,-4.4,-4.4,-6.3,-6.1,12.8,23.1,19.1,17.4,17.4,17.4,15.2,12.9,11.8,8.9,6.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONAL CAPITAL REGION,368.68,211.79,244.51,274.80,294.48,314.81,336.48,377.25,410.79,488.51,733.32,321.59,196.56,225.67,248.50,266.90,287.21,296.45,323.55,359.14,390.38,621.21,385.05,246.21,283.63,297.26,315.47,335.72,359.66,387.40,412.75,454.03,758.27,-12.8,-7.2,-7.7,-9.6,-9.4,-8.8,-11.9,-14.2,-12.6,-20.1,-15.3,19.7,25.3,25.7,19.6,18.2,16.9,21.3,19.7,14.9,16.3,22.1
NCR I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Manila,363.35,210.63,257.06,298.31,332.43,318.04,351.25,381.29,396.28,467.69,620.27,362.27,262.41,278.44,297.22,326.82,339.39,341.63,382.46,398.47,433.46,561.79,390.20,247.81,311.55,333.88,350.98,354.26,367.82,410.02,457.97,440.18,626.00,-0.3,24.6,8.3,-0.4,-1.7,6.7,-2.7,0.3,0.6,-7.3,-9.4,7.7,-5.6,11.9,12.3,7.4,4.4,7.7,7.2,14.9,1.6,11.4
NCR II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Mandaluyong,475.56,240.18,290.67,306.74,346.10,358.63,401.89,447.11,508.07,721.64,"1,135.23",414.05,315.03,314.73,320.32,358.26,360.92,392.62,393.59,473.63,478.23,731.83,508.19,334.33,358.76,412.48,405.51,411.38,443.83,475.72,622.62,655.89,958.54,-12.9,31.2,8.3,4.4,3.5,0.6,-2.3,-12.0,-6.8,-33.7,-35.5,22.7,6.1,14.0,28.8,13.2,14.0,13.0,20.9,31.5,37.2,31.0
