"Table 3. Total Annual Family Income, by Per Capita Income Decile and by Region, Province and HUC: 2018, 2021 and 2023p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Province/HUC,2018,,,,,,,,,,,2021,,,,,,,,,,,2023p,,,,,,,,,,,Percent Change (2018 to 2021),,,,,,,,,,,Percent Change (2021 to 2023),,,,,,,,,,
,(In millions),,,,,,,,,,,(In millions),,,,,,,,,,,(In millions),,,,,,,,,,,(In percent),,,,,,,,,,,(In percent),,,,,,,,,,
,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHILIPPINES," 7,757,012.68 "," 280,591.27 "," 357,379.72 "," 416,561.68 "," 488,345.43 "," 556,838.29 "," 649,802.48 "," 763,488.81 "," 918,043.59 "," 1,178,010.77 "," 2,147,950.63 "," 8,109,045.26 "," 306,262.87 "," 401,607.22 "," 464,150.01 "," 535,044.82 "," 601,018.25 "," 691,035.99 "," 799,717.89 "," 954,449.33 "," 1,206,648.57 "," 2,149,110.30 "," 9,706,612.91 "," 393,685.99 "," 501,868.93 "," 572,743.13 "," 662,747.85 "," 747,600.12 "," 848,372.55 "," 966,503.95 "," 1,143,798.18 "," 1,408,474.25 "," 2,460,817.96 ",4.5,9.2,12.4,11.4,9.6,7.9,6.4,4.8,4.0,2.4,0.1,19.7,28.6,25.0,23.4,23.9,24.4,22.8,20.9,19.8,16.7,14.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONAL CAPITAL REGION," 1,527,769.65 "," 70,127.21 "," 87,785.99 "," 101,204.78 "," 111,696.33 "," 124,357.30 "," 136,331.78 "," 156,437.84 "," 173,262.16 "," 211,020.73 "," 355,545.54 "," 1,467,628.46 "," 77,163.78 "," 91,809.85 "," 103,516.90 "," 113,145.22 "," 125,436.46 "," 134,488.10 "," 148,349.74 "," 169,983.54 "," 187,836.03 "," 315,898.85 "," 1,865,801.30 "," 94,452.90 "," 117,464.79 "," 127,934.60 "," 141,971.78 "," 154,774.39 "," 170,358.40 "," 188,200.04 "," 208,683.05 "," 234,340.51 "," 427,620.84 ",-3.9,10.0,4.6,2.3,1.3,0.9,-1.4,-5.2,-1.9,-11.0,-11.2,27.1,22.4,27.9,23.6,25.5,23.4,26.7,26.9,22.8,24.8,35.4
NCR I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Manila," 197,174.25 "," 9,229.00 "," 12,068.34 "," 14,075.71 "," 16,395.65 "," 16,359.63 "," 18,953.61 "," 21,199.05 "," 22,872.70 "," 25,676.51 "," 40,344.05 "," 204,369.69 "," 12,756.53 "," 14,367.17 "," 15,252.71 "," 17,313.18 "," 18,312.17 "," 18,747.08 "," 21,382.04 "," 23,313.65 "," 26,681.02 "," 36,244.13 "," 246,232.67 "," 12,026.79 "," 16,715.58 "," 18,672.51 "," 20,079.84 "," 20,757.54 "," 22,831.85 "," 25,612.84 "," 30,157.34 "," 31,476.92 "," 47,901.45 ",3.7,38.2,19.1,8.4,5.6,11.9,-1.1,0.9,1.9,3.9,-10.2,20.5,-5.7,16.4,22.4,16.0,13.4,21.8,19.8,29.4,18.0,32.2
NCR II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Mandaluyong," 77,146.17 "," 2,706.97 "," 3,517.13 "," 3,899.12 "," 4,683.56 "," 4,765.88 "," 5,746.47 "," 6,346.94 "," 7,644.74 "," 10,370.08 "," 27,465.28 "," 62,352.70 "," 3,956.37 "," 4,231.84 "," 4,447.20 "," 5,169.04 "," 5,413.22 "," 5,908.25 "," 6,108.50 "," 7,377.02 "," 7,770.84 "," 11,970.43 "," 93,875.35 "," 4,743.61 "," 5,620.73 "," 6,660.45 "," 6,622.14 "," 7,441.95 "," 8,095.61 "," 9,119.63 "," 11,302.84 "," 12,524.95 "," 21,743.44 ",-19.2,46.2,20.3,14.1,10.4,13.6,2.8,-3.8,-3.5,-25.1,-56.4,50.6,19.9,32.8,49.8,28.1,37.5,37.0,49.3,53.2,61.2,81.6
City of San Juan," 17,024.55 ", 667.05 , 902.46 , 968.66 ," 1,100.89 "," 1,314.67 "," 1,406.52 "," 1,623.23 "," 1,623.09 "," 2,051.87 "," 5,366.10 "," 15,840.53 ", 869.95 , 924.42 ," 1,228.94 "," 1,177.94 "," 1,465.38 "," 1,263.61 "," 1,698.37 "," 1,634.49 "," 2,058.52 "," 3,518.90 "," 24,320.15 ", 927.18 ," 1,427.25 "," 1,480.95 "," 1,511.59 "," 1,722.84 "," 2,020.34 "," 2,265.23 "," 1,851.47 "," 4,226.90 "," 6,886.40 ",-7.0,30.4,2.4,26.9,7.0,11.5,-10.2,4.6,0.7,0.3,-34.4,53.5,6.6,54.4,20.5,28.3,17.6,59.9,33.4,13.3,105.3,95.7
