year,area,poverty_threshold_per_capita,family_income,family_expenditure,poverty_gap,expenditure_ratio,new_poor_flag,source_file
2018.0,Abra,25814,237610.0,167690.0,211796.0,0.7057362905601616,0,"Table 1. 2018, 2021 and 2023p Average Annual Family Income, by Per Capita Income Decile Class and by Region, Province and HUCs.csv, Table 2. 2018, 2021 and 2023p Average Annual Family Expenditure, by Per Capita Income Decile Class and by Region, Province and HUC.csv, Table 3. 2018, 2021 and 2023p Total Annual Family Income, by Per Capita Income Decile and by Region, Province and HUC.csv"
2018.0,Agusan Del Norte (Excluding City of Butuan),25814,206840.0,164300.0,181026.0,0.7943337845677818,0,"Table 1. 2018, 2021 and 2023p Average Annual Family Income, by Per Capita Income Decile Class and by Region, Province and HUCs.csv, Table 2. 2018, 2021 and 2023p Average Annual Family Expenditure, by Per Capita Income Decile Class and by Region, Province and HUC.csv, Table 3. 2018, 2021 and 2023p Total Annual Family Income, by Per Capita Income Decile and by Region, Province and HUC.csv"
2018.0,Agusan Del Sur,25814,229720.0,174220.0,203906.0,0.7584015323001916,0,"Table 1. 2018, 2021 and 2023p Average Annual Family Income, by Per Capita Income Decile Class and by Region, Province and HUCs.csv, Table 2. 2018, 2021 and 2023p Average Annual Family Expenditure, by Per Capita Income Decile Class and by Region, Province and HUC.csv, Table 3. 2018, 2021 and 2023p Total Annual Family Income, by Per Capita Income Decile and by Region, Province and HUC.csv"
2018.0,Aklan,25814,271560.0,224940.0,245746.0,0.8283252319929297,0,"Table 1. 2018, 2021 and 2023p Average Annual Family Income, by Per Capita Income Decile Class and by Region, Province and HUCs.csv, Table 2. 2018, 2021 and 2023p Average Annual Family Expenditure, by Per Capita Income Decile Class and by Region, Province and HUC.csv, Table 3. 2018, 2021 and 2023p Total Annual Family Income, by Per Capita Income Decile and by Region, Province and HUC.csv"
2018.0,Albay,25814,255120.0,202870.0,229306.0,0.7951944183129508,0,"Table 1. 2018, 2021 and 2023p Average Annual Family Income, by Per Capita Income Decile Class and by Region, Province and HUCs.csv, Table 2. 2018, 2021 and 2023p Average Annual Family Expenditure, by Per Capita Income Decile Class and by Region, Province and HUC.csv, Table 3. 2018, 2021 and 2023p Total Annual Family Income, by Per Capita Income Decile and by Region, Province and HUC.csv"
2018.0,Antique,25814,244710.0,160390.0,218896.0,0.6554288749948919,0,"Table 1. 2018, 2021 and 2023p Average Annual Family Income, by Per Capita Income Decile Class and by Region, Province and HUCs.csv, Table 2. 2018, 2021 and 2023p Average Annual Family Expenditure, by Per Capita Income Decile Class and by Region, Province and HUC.csv, Table 3. 2018, 2021 and 2023p Total Annual Family Income, by Per Capita Income Decile and by Region, Province and HUC.csv"
2018.0,Apayao,25814,250230.0,160700.0,224416.0,0.6422091675658395,0,"Table 1. 2018, 2021 and 2023p Average Annual Family Income, by Per Capita Income Decile Class and by Region, Province and HUCs.csv, Table 2. 2018, 2021 and 2023p Average Annual Family Expenditure, by Per Capita Income Decile Class and by Region, Province and HUC.csv, Table 3. 2018, 2021 and 2023p Total Annual Family Income, by Per Capita Income Decile and by Region, Province and HUC.csv"
2018.0,Aurora,25814,284410.0,224210.0,258596.0,0.7883337435392567,0,"Table 1. 2018, 2021 and 2023p Average Annual Family Income, by Per Capita Income Decile Class and by Region, Province and HUCs.csv, Table 2. 2018, 2021 and 2023p Average Annual Family Expenditure, by Per Capita Income Decile Class and by Region, Province and HUC.csv, Table 3. 2018, 2021 and 2023p Total Annual Family Income, by Per Capita Income Decile and by Region, Province and HUC.csv"
2018.0,BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023),25814,166930.0,131210.0,141116.0,0.7860180914155634,0,"Table 1. 2018, 2021 and 2023p Average Annual Family Income, by Per Capita Income Decile Class and by Region, Province and HUCs.csv, Table 2. 2018, 2021 and 2023p Average Annual Family Expenditure, by Per Capita Income Decile Class and by Region, Province and HUC.csv, Table 3. 2018, 2021 and 2023p Total Annual Family Income, by Per Capita Income Decile and by Region, Province and HUC.csv"
2018.0,Basilan,25814,137230.0,123670.0,111416.0,0.9011877869270568,0,"Table 1. 2018, 2021 and 2023p Average Annual Family Income, by Per Capita Income Decile Class and by Region, Province and HUCs.csv, Table 2. 2018, 2021 and 2023p Average Annual Family Expenditure, by Per Capita Income Decile Class and by Region, Province and HUC.csv, Table 3. 2018, 2021 and 2023p Total Annual Family Income, by Per Capita Income Decile and by Region, Province and HUC.csv"
